Locality,Name,Owner_Applicant,Street_Address,Acres,Building_Sq_Ft,MW_reported,MW estimated,MWh per day,L per day,dB from 100ft,Construction_Type,Build_Status,Lat,Long,Year Operational
Loudoun County,IAD14,Digital Realty,43791 DEVIN SHAFRON DR,7.76,"135,000",36.45,36.45,699.84,1259712,55,Complete,Existing,39.00329462,-77.487214,2010
Loudoun County,43831 DEVIN SHAFRON DR,Digital Realty,43831 DEVIN SHAFRON DR,6.74,"117,000",31.59,31.59,606.528,1091750.4,55,Complete,Existing,39.0026917,-77.485346,2001
Loudoun County,IAD24,DIGITAL LOUDOUN II LLC,43830 DEVIN SHAFRON DR,16.45,"266,742",72.02034,72.02034,1382.790528,2489022.95,55,Complete,Existing,39.00466209,-77.484967,2011
Loudoun County,IAD12,Digital Realty,43881 DEVIN SHAFRON DR,10.36,"180,000",48.6,48.6,933.12,1679616,55,Complete,Existing,39.00198339,-77.483322,2001
Loudoun County,AID1 DataBank,GI TC ASHBURN LLC,21625 RED RUM DR,15.21,146154,40,39.46158,768,1382400,55,"Operating, Expanding",Existing,39.01561562,-77.482467,2011
Loudoun County,DIGITAL-GCEAR1 ASHBURN,GI TC DEVIN SHAFRON LLC,43915 DEVIN SHAFRON DR,8.2,"138,600",37.422,37.422,718.5024,1293304.32,55,Complete,Existing,39.00285962,-77.481915,2025
Loudoun County,IAD3 DataBank,ZCOLO LLC,21630 RED RUM DR,10.97,"286,800",77.436,77.436,1486.7712,2676188.16,55,Complete,Existing,39.01779141,-77.481723,2023
Loudoun County,IAD Digital Loudoun Plaza,Digital Realty,43940 DIGITAL LOUDOUN PLZ,38.21,"1,137,740",307.1898,307.1898,5898.04416,10616479.49,55,Complete,Existing,39.00082839,-77.4792,2013
Loudoun County,Red Rum Dr Campus Sabey Data Centers,INTERGATE ASHBURN I LLC,21735 RED RUM DR,34.35,"400,232",108.06264,108.06264,2074.802688,3734644.838,55,Complete,Existing,39.01470116,-77.478456,2025
Loudoun County,QTS DATA CENTER ASH3-DC1,QTS,22291 SHELLHORN RD,14.3,"310,717",83.89359,83.89359,1610.756928,2899362.47,55,Complete,Existing,38.998035,-77.475481,2018
Loudoun County,EQUINEX DC13,EQUINIX,21830 UUNET DR,6.21,"108,300",29.241,29.241,561.4272,1010568.96,55,Complete,Existing,39.01260183,-77.475333,2018
